,0,1,2,3
0,1.2265,1.455,1.303,1.0964
1,1.0308,1.2501,1.0703,0.8733
2,0.9172,0.9524,0.7314,0.5482
3,0.8491,0.6458,0.438,0.314
4,0.8035,0.5793,0.4055,0.2956
